threat_name,summary,tags,date
emotet_april,"26 kwietnia 2022 r. zauważono nową kampanię Emotet, w której zwykły system dostarczania pakietu Office został zastąpiony plikami LNK, w wyraźnej odpowiedzi na ochronę VBA uruchomioną przez Microsoft. Badacze znaleźli 139 różnych plików LNK, które są częścią tej samej kampanii, dostarczając dwa różne ładunki, które korzystają z tej samej infrastruktury C2.","phishing",2022-05-24
mustang_panda,"W lutym 2022 r., mniej więcej w momencie rozpoczęcia rosyjskiej inwazji na Ukrainę, Cisco Talos zaczął obserwować, jak działający w Chinach gracz Mustang Panda przeprowadza kampanie phishingowe przeciwko europejskim podmiotom, w tym organizacjom rosyjskim. Niektóre wiadomości phishingowe zawierają złośliwe przynęty podszywające się pod oficjalne raporty Unii Europejskiej na temat konfliktu na Ukrainie i jego skutków dla krajów NATO. Inne wiadomości phishingowe dostarczają fałszywe „oficjalne” raporty rządu ukraińskiego, z których oba pobierają złośliwe oprogramowanie na zhakowane maszyny.","phishing",2022-05-24
quantum_locker,"The Quantum Locker to odmiana oprogramowania ransomware, która została po raz pierwszy wykryta w lipcu 2021 roku. Od tego czasu oprogramowanie ransomware było wykorzystywane w szybkich atakach ransomware, w niektórych przypadkach nawet w czasie krótszym niż 4 godziny, pozostawiając obrońcom niewiele czasu na reakcje.","ransomware,mail",2022-06-01
follina,"Badacze cyberbezpieczeństwa opracowali błąd dnia zerowego w pakiecie Microsoft Office, który może zostać wykorzystany do uzyskania wykonania dowolnego kodu na dotkniętych nim systemach Windows. Technika ta jest wykorzystywana przez MSDT (Microsoft Diagnostics Tool) i Microsoft Office Utilities. Wiele się tu dzieje, ale pierwszym problemem jest to, że Microsoft Word wykonuje kod za pomocą msdt (narzędzia wsparcia), nawet jeśli makra są wyłączone.","phishing",2022-06-08
droppers,"Droppery to złośliwe pliki, które umieszczają ładunki złośliwego oprogramowania na urządzeniu ofiary i są wykorzystywane w wielu kampaniach dotyczących zagrożeń. W drugim kwartale 2022 r. FortiGuard Labs zaobserwował kilka aktywnych dropperów, w tym pliki Microsoft Excel, a także pliki skrótów Windows i pliki obrazów ISO","office",2022-07-19
evilnum,"Researchers identified several instances of their low-volume targeted attack campaigns launched against the UK and Europe. In earlier campaigns observed in 2021, the main distribution vector used by this threat group was Windows Shortcut files (LNK) sent inside malicious archive files (ZIP) as email attachments in spear phishing emails to the victims. In the most recent instances, the threat actor has started using MS Office Word documents, leveraging document template injection to deliver the malicious payload to the victims’ machines.","phishing",2022-07-19
AiTM_phishing,"A large-scale phishing campaign that used adversary-in-the-middle (AiTM) phishing sites stole passwords, hijacked a user’s sign-in session, and skipped the authentication process even if the user had enabled multifactor authentication (MFA). The attackers then used the stolen credentials and session cookies to access affected users’ mailboxes and perform follow-on business email compromise (BEC) campaigns against other targets.","phishing",2022-07-19
trellix_RAT,"The Trellix Email Security Research Team has discovered a malicious campaign targeting government agencies of Afghanistan, India, Italy, Poland, and the United States since 2021. The attack starts with a spear phishing email with a geo-political theme. The spear phishing emails were themed around India Afghanistan relationship. Attacker used politics as a lure to trick users into clicking on a malicious link. The email used for this phishing attack contains an attachment or a weaponized URL that delivers an Excel sheet.","phishing",2022-07-19
qakbot,"FortiGuard Labs firmy Fortinet przechwycił wiadomość phishingową w ramach kampanii phishingowej rozpowszechniającej nowy wariant QakBot. Znany również jako QBot, QuackBot lub Pinkslipbot, QakBot to złodziej informacji i trojan bankowy, który jest przechwytywany i analizowany przez badaczy bezpieczeństwa od 2007 roku.","phishing",2022-08-25
Bumblebee_loader,"Analitycy zespołu Cybereason GSOC przeanalizowali przypadek, w którym wystąpiła infekcja Bumblebee Loader. Po tym wprowadzeniu szczegółowo opisujemy łańcuch ataków od początkowej infekcji Bumblebee do włamania się na całą sieć.",,2022-09-06
Monster_Libra,"Monster Libra jest najnowszym aktorem zajmującym się zagrożeniami, który wpycha złośliwe oprogramowanie do systemu operacyjnego Windows, a ta infekcja doprowadziła do Dark VNC i Cobalt Strike, a także szeregu innych infekcji.",,2022-09-06
Qbot,"QBOT, znany również jako QAKBOT, to modułowy trojan aktywny od 2007 roku, używany do pobierania i uruchamiania plików binarnych na docelowej maszynie. QBOT to wieloetapowy, wieloprocesowy plik binarny, który umożliwia unikanie wykrywania, zwiększanie uprawnień, konfigurowanie trwałości i komunikowanie się z C2 za pośrednictwem zestawu adresów IP. C2 może aktualizować QBOT, ładować nowe adresy IP, ładować i uruchamiać bezplikowe binaria oraz wykonywać polecenia powłoki.",,2023-02-23
REvil_Ransomware,"W kwietniu 2019 roku pojawiły się pierwsze wersje ransomware REvil aka Sodinokibi. Rodzina ransomware pokrywa się z rodziną ransomware GandCrab z perspektywy elementów kodu. Oprogramowanie ransomware jest rozpowszechniane za pomocą spear-phishingu połączonego z uzbrojonymi dokumentami, PowerShell, plikami bat, zestawami exploitów i wykorzystuje luki w zabezpieczeniach firmy Microsoft. W niektórych przypadkach partnerzy kupują dostęp RDP lub brutalną siłę dla podatnych na ataki serwerów RDP. Po aktywacji złośliwego oprogramowania wstrzykuje plik wykonywalny do pamięci. Oprogramowanie ransomware jest dystrybuowane przez podmioty stowarzyszone, które atakują różne sektory, cele i lokalizacje geograficzne.",,2022-09-28
Bumblebee_2nd,"W tym włamaniu z maja 2022 r. cyberprzestępcy wykorzystali BumbleBee jako początkowy wektor dostępu. BumbleBee został zidentyfikowany jako początkowy wektor dostępu wykorzystywany przez kilka podmiotów stowarzyszonych z oprogramowaniem ransomware. Podczas wtargnięcia widzimy, jak aktor zagrożenia używa BumbleBee do rozmieszczenia Cobalt Strike i Meterpreter. Następnie podmiot zajmujący się zagrożeniem wykorzystał protokoły RDP i SMB do poruszania się po sieci, sprawdzając systemy kopii zapasowych i udziały plików przed usunięciem z sieci.",,2022-11-15
Lockbit,"Zespół ASEC ustalił, że ransomware LockBit 3.0 jest dystrybuowane w formacie NSIS oraz w formacie dokumentu Word, podobnie jak w poprzednich przypadkach, w których ransomware było rozpowszechniane pod postacią aplikacji do pracy.","phishing",2023-03-01
Opera1er,"Grupa zagrożeń OPERA1ER, znana również jako DESKTOP-GROUP, Common Raven i NXSMS, atakuje sektory finansowe i telekomunikacyjne w wielu krajach, z których wiele znajduje się w Afryce. Aktorzy używają gotowych narzędzi do przeprowadzania ataków, w tym Houdini, Adwind, Nanocore, Netwire, Metasploit, CobaltStrike, Mimikatz, PowerSploit, Agent Tesla, Remcos i Neutrino. OPERA1ER używa usług DynDNS do ukrywania adresów C2 i usług VPN, takich jak Frooty VPN, Azire VPN i Cloudflare, aby ukryć swoją infrastrukturę.","phishing",2022-11-09
Cranefly,"Firma Symantec, od firmy Broadcom Software , odkryła wcześniej nieudokumentowany dropper, który jest używany do instalowania nowego backdoora i innych narzędzi przy użyciu nowatorskiej techniki odczytywania poleceń z pozornie nieszkodliwych dzienników Internetowych usług informacyjnych (IIS).Dropper (Trojan.Geppei) jest używany przez aktora, który Symantec nazywa Cranefly w celu zainstalowania innego, dotychczas nieudokumentowanego złośliwego oprogramowania (Trojan.Danfuan) i innych narzędzi. Technika odczytywania poleceń z dzienników IIS nie jest dotychczas wykorzystywana przez badaczy firmy Symantec w rzeczywistych atakach.",,2022-11-09
Exbyte,"Exbyte to najnowsze narzędzie opracowane przez atakujących ransomware w celu przyspieszenia kradzieży danych od ofiar.Zespół łowców zagrożeń firmy Symantec odkrył, że co najmniej jeden podmiot stowarzyszony z operacją ransomware BlackByte (Ransom.Blackbyte) zaczął używać podczas swoich ataków niestandardowego narzędzia do eksfiltracji danych. Szkodnik (Infostealer.Exbyte) ma na celu przyspieszenie kradzieży danych z sieci ofiary i przesłanie ich na zewnętrzny serwer.BlackByte to operacja typu ransomware jako usługa prowadzona przez grupę cyberprzestępczą, którą Symantec nazywa Hecamede. Grupa zwróciła uwagę opinii publicznej w lutym 2022 r., kiedy Federalne Biuro Śledcze (FBI) wydało ostrzeżenie , że BlackByte został użyty do ataku na wiele podmiotów w Stanach Zjednoczonych, w tym organizacje w co najmniej trzech sektorach infrastruktury krytycznej. W ostatnich miesiącach BlackByte stał się jednym z najczęściej używanych ładunków w atakach ransomware.",,2022-11-14
emotet_november,"Emotet to wszechobecny i dobrze znany trojan bankowy, który przez lata ewoluował, aby stać się odnoszącym sukcesy modułowym botnetem, zdolnym do usuwania wielu innych zagrożeń. Nawet po globalnej kampanii eliminacji na początku 2021 r., która zakłóciła działanie botnetu, pojawił się ponownie w tym samym roku, odbudowując swoją infrastrukturę i stając się bardzo aktywnym w krótkim czasie. Emotet powraca z nową kampanią prezentującą wiele cech starszych przebiegów, w tym użycie makr Auto_Open w dokumentach XLS. Firma Cisco Talos zaobserwowała wzmożoną aktywność spamu rozsyłającego ten nowy szczep, począwszy od początku listopada 2022 r., a od tego czasu ilość spamu i infrastruktury Emotet wzrosła, aby dotrzeć do wielu obszarów geograficznych na całym świecie.","phishing",2022-11-14
BlackCat,"Po raz pierwszy zaobserwowany w połowie listopada 2021 r. przez badaczy z MalwareHunterTeam, BlackCat (znany również jako AlphaVM, AlphaV lub ALPHV) szybko zyskał rozgłos jako pierwsza duża profesjonalna rodzina ransomware napisana w języku Rust, wieloplatformowym języku, który umożliwia złośliwym z łatwością dostosuj złośliwe oprogramowanie do różnych systemów operacyjnych, takich jak Windows i Linux, zapewniając w ten sposób szeroki zakres środowisk korporacyjnych.",,2022-11-09
IcedID,"Złośliwe oprogramowanie IcedID powstało w 2017 roku jako modułowy trojan bankowy, ale od tego czasu przekształciło się w narzędzie do pobierania złośliwego oprogramowania, które jest powszechnie używane do uzyskiwania wstępnego dostępu do sieci korporacyjnych.Droppery złośliwego oprogramowania służą do cichego instalowania kolejnych złośliwych programów na zainfekowanym urządzeniu, pomagając cyberprzestępcom zdobyć przyczółek w docelowym systemie, a następnie rozmieścić potężniejsze ładunki w całej sieci.Zazwyczaj operatorzy dropperów złośliwego oprogramowania sprzedają swoje usługi innym cyberprzestępcom, którzy zlecają tę część ataku na zewnątrz i koncentrują się na działaniach po kompromitacji.Kampanie te wykorzystują  e-maile phishingowe  do przechwytywania IcedID za pośrednictwem  plików ISO , archiwów lub   załączników dokumentów wypełnionych makrami.","phishing",2023-02-15
Netwire_RAT,"Niedawne ataki APT, które wykorzystują i porzucają ładunek NetWire, są rozpowszechniane za pośrednictwem wiadomości e-mail służących do inżynierii społecznej. Ten trojan (RAT) koncentruje się głównie na kradzieży haseł i rejestrowaniu klawiszy, a także na możliwościach zdalnej kontroli. Ostatnio NetWire był dystrybuowany za pośrednictwem dokumentów biurowych Microsoftu i rozprzestrzeniał ataki z dodatkowymi ładunkami, zwłaszcza kampanie GuLoader.","phishing,office",2022-11-23
Redline_stealer,"Według badań przeprowadzonych przez Cyble Research & Intelligence Labs (CRIL), złośliwy Redline Stealer jest dystrybuowany za pośrednictwem stron phishingowych podszywających się pod witryny Express VPN. Redline Stealer jest jednym z najbardziej znanych InfoStealerów. Według bloga autorów, nastąpił wzrost liczby próbek wypełnionych śmieciowymi danymi, aby zwiększyć ich rozmiar w celu uniknięcia wykrycia.","phishing",2023-02-23
Earth_Preta,"Podczas obserwacji kampanii zauważyliśmy, że Earth Preta wykorzystywała fałszywe konta Google do rozpowszechniania złośliwego oprogramowania za pośrednictwem e-maili typu spear phishing, początkowo przechowywanych w pliku archiwum (takich jak rar/zip/jar) i rozpowszechnianych za pośrednictwem linków do Dysku Google. Użytkownicy są następnie zachęcani do pobrania i uruchomienia złośliwego oprogramowania, TONEINS, TONESHELL i PUBLOAD.","spear-phishing",2022-11-19
Lunamoth,"Lunamoth to operacja wyłudzania okupu, która prowadzi kampanie wyłudzania phishingu zwrotnego skierowane do organizacji z wielu sektorów. Grupa wykorzystuje socjotechnikę do kradzieży danych z docelowych organizacji i grozi ich wyciekiem, jeśli okup nie zostanie zapłacony. Lunamoth prowadzi kampanie phishingowe, w ramach których wysyła e-maile o tematyce faktur płatniczych za subskrypcje legalnych usług.","phishing",2022-12-06
Janicab,"Polując na mniej powszechne włamania Deathstalker wykorzystujące rodzinę złośliwego oprogramowania Janicab, zidentyfikowaliśmy nowy wariant Janicab wykorzystywany do atakowania podmiotów prawnych na Bliskim Wschodzie przez cały 2020 r., prawdopodobnie aktywny w 2021 r. i potencjalnie przedłużający szeroko zakrojoną kampanię, której początki sięgają początku 2015 r. oraz ukierunkowane agencje prawne, finansowe i turystyczne na Bliskim Wschodzie iw Europie.",,2022-12-14
Rhadamanthys,"Złodziej Rhadamanthys rozprzestrzenia się za pomocą Google Ads , które przekierowują użytkownika do stron phishingowych imitujących popularne oprogramowanie, takie jak Zoom, AnyDesk, Notepad++, Bluestacks itp. Może również rozprzestrzeniać się za pośrednictwem wiadomości spamowych zawierających załącznik dostarczający szkodliwą zawartość.","phishing,ads",2023-02-23
NoName057,"Prorosyjska grupa haktywistów NoName057(16) prowadzi kampanię ataków DDoS na Ukrainę i organizacje NATO, która rozpoczęła się w pierwszych dniach wojny na Ukrainie. Cele obejmowały organizacje rządowe i infrastrukturę krytyczną. NoName057(16) był odpowiedzialny za zakłócenie usług w sektorze finansowym w Danii w tym tygodniu. Inne niedawne ataki obejmują organizacje i firmy z Polski, Litwy i innych krajów.",,2023-01-13
Aurora,"Aktorzy zagrożeń (TA) coraz częściej korzystają z witryn wyłudzających informacje, aby nakłonić ofiary do kradzieży poufnych informacji lub pobrania złośliwego oprogramowania, takiego jak narzędzie do kradzieży informacji, trojany dostępu zdalnego (RAT) i inne złośliwe oprogramowanie. Linki do tych stron phishingowych są często rozpowszechniane za pośrednictwem poczty elektronicznej, reklam online i innych kanałów.","phishing,ads",2023-01-24
Google_ads,"Kampanie dostarczania złośliwego oprogramowania wykorzystujące reklamy Google typu pay-per-click (PPC) dostarczają ofiarom szereg ładunków, w tym Ursnif (znany również jako Gozi), IcedID, Qakbot, Batloader i różne narzędzia do kradzieży informacji. IcedID i Qakbot były często używane jako prekursory ataków ransomware.Chociaż Google usunął złośliwe reklamy, gdy zostały zidentyfikowane, atakującym wciąż udaje się tworzyć nowe reklamy,a złośliwe reklamy nadal są wykorzystywane do wyświetlania wielu ładunków, w tym Gozi, Qakbot i IcedID.","ads",2023-02-03
BATLoader,"Aktorzy zagrożeń (TA) używają e-maili ze spamem, aby nakłonić osoby do pobrania złośliwego oprogramowania, takiego jak trojany zdalnego dostępu (RAT) i złodzieje, aby zainfekować ich urządzenia i wykraść poufne informacje. Niedawno zaobserwowaliśmy nowy typ programu ładującego BAT, który jest używany do dystrybucji szeregu rodzin szkodliwego oprogramowania RAT i Stealer. Ten moduł ładujący wykorzystuje charakterystyczną metodę dostarczania złośliwego ładunku do systemu użytkownika. Widzieliśmy wiele rodzin złośliwego oprogramowania dostarczanych za pomocą tego nowego modułu ładującego BAT. Nasze badania wskazują, że nowy wariant modułu ładującego BAT jest używany przez załącznik programu OneNote, który rozprzestrzenia się za pośrednictwem spamu.","phishing",2023-02-07
AsyncRAT,"AsyncRAT to narzędzie zdalnego dostępu (RAT) przeznaczone do zdalnego monitorowania i kontrolowania innych komputerów za pośrednictwem bezpiecznego, szyfrowanego połączenia. Jest to narzędzie do zdalnej administracji typu open source, jednak może być również wykorzystywane złośliwie, ponieważ zapewnia takie funkcje, jak keylogger, zdalne sterowanie pulpitem i wiele innych funkcji, które mogą wyrządzić szkody na komputerze ofiary. Ponadto AsyncRAT może być dostarczany za pomocą różnych metod, takich jak spear-phishing, malvertising, zestaw exploitów i inne techniki.",,2023-02-14
RoyalRansomware,"Od mniej więcej września 2022 r. cyberprzestępcy atakowali amerykańskie i międzynarodowe organizacje za pomocą wariantu ransomware Royal. FBI i CISA uważają, że ten wariant, który wykorzystuje własny, dostosowany program do szyfrowania plików, wyewoluował z wcześniejszych iteracji, które wykorzystywały „Zeon” jako program ładujący.","phishing",2023-03-06
Lokibot,"Badacze z unit 42 odkryli kampanię dystrybucji złośliwego oprogramowania, która dostarcza narzędzie do kradzieży informacji LokiBot za pośrednictwem wiadomości phishingowych służących do narażenia na szwank poczty biznesowej (BEC) . To złośliwe oprogramowanie ma na celu kradzież poufnych informacji z systemów ofiar, takich jak hasła i informacje bankowe, a także inne poufne dane.","phishing",2023-03-07
OneNote,"Aktorzy zajmujący się zagrożeniami wykorzystują zdolność programu Microsoft OneNote do osadzania plików i stosowania technik socjotechnicznych, takich jak wiadomości e-mail typu phishing i przynęty w dokumencie programu OneNote, aby nakłonić niczego niepodejrzewających użytkowników do pobrania i otwarcia złośliwych plików. Po kliknięciu osoba atakująca może wykorzystać osadzony kod do różnych złośliwych celów, takich jak kradzież danych lub instalowanie oprogramowania ransomware w systemach ofiar.","phishing",2023-03-10
RIG_ Exploit_Kit,"Rig Exploit Kit znajduje się w krajobrazie zagrożeń od 2014 roku i został niedawno odkryty wraz z dodatkowymi exploitami dla CVE-2021-26411 i CVE-2020-0674. Udane infekcje mogą spowodować zainfekowanie urządzeń narzędziami do kradzieży informacji, programami do pobierania, backdoorami, trojanami zdalnego dostępu i oprogramowaniem ransomware. Złośliwe oprogramowanie dystrybuowane przez zestaw exploitów obejmuje Gozi, Dridex, Racoon Stealer, Redline Stealer, IcedID, Zloader, TrueBot i Royal Ransomware.",,2023-03-13
MyDoom,"MyDoom (znany również jako Novarg i Mimail) został po raz pierwszy odkryty w 2004 roku. I chociaż od czasu jego wprowadzenia doczekał się kilku aktualizacji i modyfikacji, jest to anachronizm w świecie złośliwego oprogramowania, który nadal działa znacznie powyżej oczekiwań. Typowa wiadomość e-mail phishingowa MyDoom zawiera tematy odnoszące się do błędu dostarczenia lub testowania. Nagłówki e-maili zawierają powód odrzucenia i niestandardowy „Typ treści”. Istnieje również załącznik, który może być zapinany lub nie. Ten załącznik (o ile nie jest spakowany) jest plikiem wykonywalnym MyDoom.","phishing",2023-03-09
Winter_Vivern,"Grupa Winter Vivern Advanced Persistent Threat (APT) to godna uwagi, ale stosunkowo rzadko zgłaszana grupa, która działa w celach prorosyjskich. Część kampanii Winter Vivern została zgłoszona w ostatnich tygodniach przez polskie CBZC , a następnie ukraiński CERT jako UAC-0114. Niedawno powiązane kampanie ujawniły, że Winter Vivern obrał sobie za cel polskie agencje rządowe, Ministerstwo Spraw Zagranicznych Ukrainy, Ministerstwo Spraw Zagranicznych Włoch oraz osoby z rządu indyjskiego. Szczególnie interesujące są ataki APT na prywatne firmy, w tym organizacje telekomunikacyjne, które wspierają Ukrainę w toczącej się wojnie.","phishing",2023-03-22
YoroTrooper,"Według naszej analizy głównymi celami YoroTrooper są organizacje rządowe lub energetyczne w Azerbejdżanie, Tadżykistanie, Kirgistanie i innych krajach Wspólnoty Niepodległych Państw (WNP). Zaobserwowaliśmy również, że YoroTrooper naruszył konta co najmniej dwóch organizacji międzynarodowych: krytycznej agencji opieki zdrowotnej Unii Europejskiej (UE) oraz Światowej Organizacji Własności Intelektualnej (WIPO). Udane kompromisy objęły również ambasady krajów europejskich, w tym Azerbejdżanu i Turkmenistanu. Oceniamy, że aktor prawdopodobnie atakuje również inne organizacje w całej Europie i tureckie (Türkiye) agencje rządowe.Główne narzędzia YoroTrooper obejmują oparte na Pythonie, niestandardowe narzędzia do kradzieży informacji o otwartym kodzie źródłowym, takie jak narzędzie do kradzieży Stink opakowane w pliki wykonywalne za pośrednictwem platformy Nuitka i PyInstaller . Aby zapewnić zdalny dostęp, YoroTrooper wdrożył również złośliwe oprogramowanie, takie jak AveMaria/Warzone RAT, LodaRAT i Meterpreter.",,2023-03-22
Nobelium,"NOBELIUM, znany również jako APT29, to wyrafinowany, sponsorowany przez rosyjskie państwo ugrupowanie cyberprzestępcze, którego celem są kraje zachodnie. Na początku marca analitycy BlackBerry zaobserwowali nową kampanię skierowaną do krajów Unii Europejskiej i ich systemy dyplomatyczne, w tym ambasadora Polski w Stanach Zjednoczonych, w szczególności jej jednostki i systemy dyplomatyczne przekazujące poufne informacje o polityce w regionie, pomagające obywatelom Ukrainy w ucieczce z kraju oraz udzielające pomocy rządowi Ukrainy.","phishing",2023-03-23
